Date,"('Close', 'AAPL')","('High', 'AAPL')","('Low', 'AAPL')","('Open', 'AAPL')","('Volume', 'AAPL')","('Close', 'MSFT')","('High', 'MSFT')","('Low', 'MSFT')","('Open', 'MSFT')","('Volume', 'MSFT')","('Close', 'GOOGL')","('High', 'GOOGL')","('Low', 'GOOGL')","('Open', 'GOOGL')","('Volume', 'GOOGL')"
2020-01-02,72.7960205078125,72.85661316556887,71.54538716413333,71.79987336808419,135480400,153.93820190429688,154.04362648828806,151.74347235905563,152.17474943028378,22622100,68.18681335449219,68.18681335449219,67.08132380627873,67.176977721624,27278000
2020-01-03,72.08831024169922,72.85177641142324,71.86290728239744,72.02044674653634,146322800,152.02139282226562,153.2960664891241,151.48469119917206,151.73388454133865,21116200,67.83011627197266,68.43941121520831,67.12268159601786,67.15656298941283,23408000
2020-01-06,72.66271209716797,72.70149228565275,70.95400211001883,71.20606963688756,118387200,152.4143524169922,152.48144743722202,149.99918029711924,150.54547532233843,20813700,69.63805389404297,69.66345923216974,67.30600805367692,67.33738843542059,46768000
2020-01-07,72.32099151611328,72.92933689964593,72.10043330740585,72.67242456786943,108872000,151.024658203125,153.02771048709516,150.7754794934326,152.69227929605023,21634100,69.50354766845703,69.92153470711604,69.32669091744489,69.77008329725511,34330000
2020-01-08,73.4843521118164,73.78731540018381,72.02285750459463,72.02285750459463,132079200,153.43023681640625,154.1107071814624,151.37926161088674,152.31848942021236,27746500,69.99825286865234,70.3375228813182,69.37999541559134,69.48909698901235,35314000
2020-01-09,75.04521179199219,75.23910531783788,74.21388238999704,74.46594249428365,170108400,155.3470458984375,155.47164257283802,154.33114428138873,155.10744590860438,21385000,70.73308563232422,71.17597625297427,70.25581190329635,70.83969379325514,33200000
2020-01-10,75.21488952636719,75.78204342395495,74.7107617687589,75.28033434347061,140644800,154.62823486328125,156.4300313375717,154.47488737099658,156.0466772308818,20725900,71.18993377685547,71.48785740160909,70.72362944509531,71.21534672058111,26258000
2020-01-13,76.82181549072266,76.84848011410737,75.41364230647048,75.53240897989306,121532000,156.48757934570312,156.51633018102032,154.551606898198,155.03080698551923,21626500,71.74143981933594,71.81367248231345,71.01108564882162,71.50329704590968,30730000
2020-01-14,75.78443908691406,76.96963489713302,75.66083510787959,76.75877365398091,161954400,155.38539123535156,156.7942403559107,154.9924437393539,156.59296992839242,23477400,71.2711410522461,71.8709640363411,71.13064389247113,71.73993876603046,26076000
2020-01-15,75.45967102050781,76.46793372841316,75.0258255219773,75.58328240864935,121923600,156.39169311523438,157.1200864193471,155.80708319865047,155.85499149579698,21417900,71.70008087158203,71.77879789678663,71.32444368341595,71.39219885923909,21550000
2020-01-16,76.4049072265625,76.5164030304954,75.64144129939321,76.00499720724181,108829200,159.25733947753906,159.32443450264515,157.20636389208792,157.51305893710196,23865400,72.24610900878906,72.27301191223528,71.73994064880996,72.0114554841839,26080000
2020-01-17,77.25078582763672,77.25320450403059,76.34674080549438,76.65454881201066,137816400,160.14859008789062,160.50319328473475,158.54804977603794,160.45527037661623,34371700,73.70880126953125,73.76011367358568,72.56445103890334,72.86286877720866,52424000
2020-01-21,76.7272720336914,77.32107563862897,76.589118999561,76.87754064068325,110843200,159.5736083984375,161.19330682352677,159.506513375375,159.74611338798528,29517200,73.84481048583984,74.22493276033909,73.24497990845329,73.682891350434,48930000
2020-01-22,77.00116729736328,77.55619082400978,76.9066391826675,77.21444728071641,101832400,158.806884765625,160.5224290381556,158.78771266997,160.43616191972018,24138800,73.9255142211914,74.75799906007849,73.86523925075431,74.21746279473615,28458000
2020-01-23,77.37197875976562,77.45195781305532,76.5042877636116,77.05447382667461,104472000,159.78445434570312,159.86112810306957,158.39477722549302,159.2765034991713,19680800,73.96636199951172,74.4052768729522,73.74865298533626,74.10885083507527,26650000
2020-01-24,77.14900207519531,78.3657000922343,76.95752718801279,77.61920173441393,146537600,158.17433166503906,160.5607529613649,157.60887916729885,160.54158086638384,24918100,73.04370880126953,74.44014342272132,72.8947432066111,74.37139241036722,29786000
